newsString,genre
"The Federal Reserve raised its benchmark interest rate for the sixth time in a row on Wednesday, to a range of 3.75% to 4%.",Economics
"Washington Commanders owner Dan Snyder hires Bank of America Securities to consider potential transactions", Sports
"Woman who accused Herschel Walker of pressuring her into having abortion says honesty matters",Politics 
"Twitter blue check will cost $8 per month, Musk says",Technology
"Private payrolls rose 239,000 in October, better than expected, while wages increased 7.7%, ADP says",Economics
"Browns’ Deshaun Watson expected to play against Texans following return from suspension", Sports
"Jordan sends letters to DOJ and FBI previewing what GOP controlled House Judiciary Committee would investigate",Politics 
"YouTube to allow health professionals to apply for verified labels",Technology
"U.S. consumer spending seeing a 'mitigation' in growth not a slowdown, says Bank of America CEO",Economics
"Charles Barkley blames Nets’ ‘Big Three’ for Steve Nash departure", Sports
"US officials divided over new intelligence suggesting Russian military discussed scenarios for using nuclear weapons ",Politics 
"China launches 3rd and final space station component",Technology
